Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,128.000000,129.350006,127.489998,128.520004,125.956734,130000
2020-06-02,129.330002,130.360001,128.929993,129.990005,127.397400,177000
2020-06-03,131.929993,135.210007,131.929993,134.949997,132.258499,155200
2020-06-04,135.020004,136.369995,134.149994,136.369995,133.650162,141100
2020-06-05,141.839996,143.770004,140.910004,141.509995,138.687653,221100
2020-06-08,143.509995,144.169998,143.039993,144.020004,141.147598,544000
2020-06-09,141.699997,141.699997,139.759995,140.419998,137.619400,256800
2020-06-10,140.020004,140.039993,136.509995,137.130005,134.395020,458500
2020-06-11,130.869995,131.910004,126.820000,126.949997,124.418037,262600
2020-06-12,131.809998,132.210007,126.250000,129.330002,126.750587,127300
2020-06-15,125.230003,131.789993,125.000000,130.850006,128.240265,134700
2020-06-16,136.479996,136.559998,131.770004,133.690002,131.023605,141500
2020-06-17,133.929993,133.990005,132.229996,132.490005,129.847580,102300
2020-06-18,131.259995,133.149994,131.250000,132.130005,129.494736,72100
2020-06-19,133.919998,133.919998,129.570007,130.470001,127.867828,171500
2020-06-22,129.350006,130.589996,128.149994,130.199997,128.098053,176300
2020-06-23,131.699997,131.699997,130.000000,130.320007,128.216125,208100
2020-06-24,129.059998,129.059998,125.330002,125.699997,123.670700,223700
2020-06-25,125.059998,127.150002,123.809998,127.040001,124.989075,138300
2020-06-26,126.470001,127.019997,124.430000,125.099998,123.080399,218400
2020-06-29,126.419998,128.979996,125.940002,128.970001,126.887917,456200
2020-06-30,128.419998,130.589996,127.959999,129.919998,127.822571,123700
2020-07-01,131.059998,131.970001,128.940002,128.970001,126.887917,70900
2020-07-02,131.190002,132.130005,129.789993,130.000000,127.901306,76700
2020-07-06,132.009995,132.750000,131.089996,131.880005,129.750961,61100
2020-07-07,130.740005,131.100006,129.289993,129.500000,127.409370,79500
2020-07-08,129.500000,130.210007,128.360001,129.600006,127.507774,82700
2020-07-09,129.360001,129.360001,126.360001,126.860001,124.811989,64600
2020-07-10,126.720001,128.580002,126.720001,128.440002,126.366478,56700
2020-07-13,129.429993,131.059998,128.399994,128.600006,126.523911,94300
2020-07-14,128.320007,131.460007,127.839996,131.460007,129.337738,77300
2020-07-15,133.970001,135.559998,133.259995,135.089996,132.909119,85300
2020-07-16,134.339996,135.690002,133.809998,135.000000,132.820557,61200
2020-07-17,135.520004,136.080002,135.080002,135.860001,133.666687,68600
2020-07-20,135.419998,135.860001,134.050003,134.410004,132.240112,54700
2020-07-21,135.610001,136.869995,135.070007,135.929993,133.735535,73000
2020-07-22,135.490005,137.070007,135.080002,137.039993,134.827637,54000
2020-07-23,136.929993,137.940002,136.369995,136.779999,134.571838,67400
2020-07-24,136.529999,136.949997,135.350006,135.679993,133.489594,87200
2020-07-27,135.750000,136.449997,135.100006,136.419998,134.217651,62400
2020-07-28,135.889999,136.440002,135.160004,135.330002,133.145233,73800
2020-07-29,136.020004,137.830002,136.020004,137.570007,135.349091,36400
2020-07-30,136.529999,136.750000,135.449997,136.429993,134.227478,98100
2020-07-31,135.970001,135.970001,133.429993,135.740005,133.548630,82700
2020-08-03,136.270004,137.080002,135.339996,136.589996,134.384903,61400
2020-08-04,136.389999,137.149994,136.250000,137.149994,134.935852,109500
2020-08-05,138.000000,139.899994,138.000000,139.759995,137.503723,70800
2020-08-06,139.759995,140.279999,139.570007,140.279999,138.015320,145600
2020-08-07,139.910004,142.490005,139.910004,142.419998,140.120789,399700
2020-08-10,142.919998,145.759995,142.529999,145.690002,143.337982,234700
2020-08-11,147.539993,148.630005,145.970001,146.309998,143.947998,174300
2020-08-12,147.729996,147.860001,146.250000,146.869995,144.498947,899700
2020-08-13,146.350006,146.940002,145.550003,146.119995,143.761063,100600
2020-08-14,145.509995,147.089996,145.389999,146.529999,144.164413,163200
2020-08-17,146.860001,146.940002,145.600006,145.759995,143.406860,98600
2020-08-18,145.720001,146.089996,144.759995,144.830002,142.491898,53500
2020-08-19,145.100006,145.800003,144.350006,144.610001,142.275436,40500
2020-08-20,143.389999,144.149994,143.190002,144.000000,141.675278,59900
2020-08-21,143.529999,144.639999,143.529999,144.289993,141.960587,53600
2020-08-24,145.100006,146.850006,144.750000,146.850006,144.479263,80100
2020-08-25,147.419998,147.539993,145.850006,146.639999,144.272659,108000
2020-08-26,146.360001,147.110001,145.850006,146.699997,144.331680,62900
2020-08-27,147.360001,148.270004,146.789993,147.169998,144.794098,106200
2020-08-28,147.889999,148.679993,147.240005,148.539993,146.141983,63200
2020-08-31,148.320007,148.500000,146.929993,146.940002,144.567810,83500
2020-09-01,146.539993,148.529999,146.009995,148.529999,146.132141,60300
2020-09-02,149.080002,151.039993,148.429993,150.699997,148.267105,88400
2020-09-03,150.600006,151.029999,145.529999,146.300003,143.938156,114500
2020-09-04,147.589996,148.309998,144.660004,146.389999,144.026688,103800
2020-09-08,145.139999,145.770004,143.350006,143.820007,141.498199,89700
2020-09-09,145.089996,147.039993,144.860001,145.919998,143.564285,174900
2020-09-10,146.300003,146.789993,143.720001,144.330002,141.999954,137600
2020-09-11,144.320007,146.009995,144.139999,145.210007,143.415237,142700
2020-09-14,146.500000,147.660004,146.250000,147.139999,145.321396,96700
2020-09-15,147.910004,148.330002,147.279999,147.440002,145.617676,141100
2020-09-16,148.699997,150.339996,147.889999,148.940002,147.099152,101300
2020-09-17,146.929993,149.880005,146.410004,149.160004,147.316422,377300
2020-09-18,149.419998,150.000000,147.309998,147.500000,145.676941,124300
2020-09-21,144.770004,144.800003,141.139999,142.589996,140.827606,310300
2020-09-22,142.740005,144.119995,142.490005,143.860001,142.081909,116900
2020-09-23,144.369995,145.509995,141.100006,141.190002,139.444946,74600
2020-09-24,140.990005,142.979996,139.369995,141.330002,139.583206,75400
2020-09-25,140.740005,143.899994,140.710007,143.399994,141.627609,88300
2020-09-28,145.050003,147.300003,145.050003,146.199997,144.392990,134400
2020-09-29,146.160004,146.529999,144.720001,145.169998,143.375732,67800
2020-09-30,145.509995,147.399994,144.080002,144.770004,142.980698,103300
2020-10-01,145.779999,146.339996,143.860001,144.880005,143.089340,90700
2020-10-02,142.300003,147.050003,142.029999,146.449997,144.639923,63100
2020-10-05,147.610001,149.110001,147.610001,148.929993,147.089249,46800
2020-10-06,149.509995,150.800003,147.369995,147.389999,145.568298,92000
2020-10-07,149.259995,151.000000,149.259995,150.490005,148.629990,108600
2020-10-08,151.419998,151.960007,150.339996,151.960007,150.081818,109500
2020-10-09,152.750000,153.520004,152.160004,152.479996,150.595383,115100
2020-10-12,153.240005,153.770004,152.869995,153.440002,151.543533,80300
2020-10-13,152.289993,153.169998,151.399994,151.800003,149.923798,90900
2020-10-14,152.000000,153.500000,152.000000,152.380005,150.496628,56900
2020-10-15,150.750000,153.039993,150.279999,153.039993,151.148468,78700
2020-10-16,153.899994,154.660004,153.660004,153.720001,151.820068,69000
2020-10-19,153.949997,154.600006,151.410004,151.869995,149.992920,113200
2020-10-20,152.740005,154.419998,152.360001,152.529999,150.644760,136600
2020-10-21,152.380005,153.300003,151.119995,151.119995,149.252197,61400
2020-10-22,151.300003,152.509995,150.889999,152.330002,150.447235,98100
2020-10-23,153.100006,153.630005,152.000000,153.100006,151.207733,52700
2020-10-26,151.139999,151.139999,147.720001,149.240005,147.395432,140400
2020-10-27,149.119995,149.119995,146.220001,146.229996,144.422638,69600
2020-10-28,143.479996,144.389999,141.600006,141.720001,139.968369,250200
2020-10-29,141.639999,144.639999,141.199997,143.490005,141.716492,64600
2020-10-30,142.630005,143.949997,141.339996,143.190002,141.420212,103400
2020-11-02,145.080002,147.259995,144.529999,147.229996,145.410263,125900
2020-11-03,149.289993,152.130005,148.860001,151.240005,149.370712,121900
